活動名稱,開始時間,結束時間,地點,說明,報名連結
高爾夫球例賽：妖怪隊,2026-01-04,,,,
高爾夫球例賽：快樂隊,2026-01-11,,,,
高爾夫球例賽：在校聯盟,2026-01-17,,,,
高爾夫球例賽：師徒隊,2026-01-25,,,,
高爾夫球例賽：妖怪隊,2026-02-01,,,,
高爾夫球例賽：快樂隊 + 在校聯盟,2026-02-08,,,,
春季盃 / 高爾夫球例賽：妖怪隊(44 vs 42屆) (19-24聯隊vs 40屆),2026-03-01,,,,
高爾夫球例賽：快樂隊,2026-03-08,,,,
高爾夫球例賽：在校聯盟,2026-03-14,,,,
高爾夫球例賽：師徒隊,2026-03-22,,,,
第一季讀書會,2026-03-26,,,,
高爾夫球例賽：妖怪隊,2026-04-05,,,,
高爾夫球例賽：快樂隊(35+36聯隊vs 29屆),2026-04-12,,,,
高爾夫球例賽：在校聯盟(18屆vs 38+39聯隊),2026-04-18,,,,
高爾夫球例賽：師徒隊,2026-04-26,,,,
企家班46屆招生報名申請,2026-04-07,,,重要,
高爾夫球例賽：妖怪隊,2026-05-03,,,,
上半年家長聯誼會,2026-05-03,,,,
高爾夫球例賽：快樂隊,2026-05-10,,,,
高爾夫球例賽：在校聯盟,2026-05-16,,,,
高爾夫球例賽：師徒隊(老幹隊vs 33+37聯隊),2026-05-24,,,,
高爾夫球例賽：妖怪隊(1-17+45聯隊vs 30+31聯隊),2026-06-07,,,,
上半年理監事會議,2026-05-14,,,,
企家班46屆報名截止（以郵戳為憑）,2026-06-01,,,重要,
夏季盃 / 高爾夫球例賽：快樂隊(41屆vs 25-28聯隊)(43屆vs 32-34聯隊),2026-06-14,,,,
公佈企家班46屆錄取名單,2026-06-17,,,重要,
高爾夫球例賽：在校聯盟,2026-06-20,,,,
高爾夫球例賽：師徒隊,2026-06-28,,,,
高爾夫球例賽：妖怪隊,2026-07-05,,,,
43屆結業典禮,,,,,
高爾夫球例賽：快樂隊,2026-07-12,,,,
企家班45週年團圓日,2026-07-15 5:30PM,,漢來,重要,
高爾夫球例賽：在校聯盟,2026-07-18,,,,
高爾夫球例賽：師徒隊,2026-07-26,,,,
46屆新生座談會,,,,,
高爾夫球例賽：妖怪隊,2026-08-02,,,,
高爾夫球例賽：快樂隊 (對抗賽),2026-08-09,,,,
高爾夫球例賽：在校聯盟,2026-08-15,,,,
第三季讀書會 / 健康講座,2026-08-20,,,,
高爾夫球例賽：師徒隊 (對抗賽),2026-08-23,,,,
高爾夫球例賽：妖怪隊,2026-09-06,,,,
高爾夫球例賽：快樂隊,2026-09-13,,,,
秋季盃 / 高爾夫球例賽：在校聯盟(對抗賽),2026-09-19,,,,
高爾夫球：師徒隊,2026-09-27,,,,
高爾夫球例賽：妖怪隊,2026-10-04,,,,
高爾夫球例賽：快樂隊,2026-10-11,,,,
高爾夫球例賽：在校聯盟,2026-10-17,,,,
高爾夫球例賽：師徒隊,2026-10-25,,,,
鐵人盃,2026-11-07,,全國,,
高爾夫球例賽：妖怪隊,2026-11-01,,,,
下半年家長聯誼會,2026-11-01,,,,
高爾夫球例賽：快樂隊,2026-11-08,,,,
高爾夫球例賽：在校聯盟,2026-11-14,,,,
第四季讀書會,2026-11-20,,,,
冬季盃（薪傳盃）＋年度冠軍、季軍賽高爾夫球例賽：師徒隊,2026-11-22,,,,
下半年理監事會議,2026-12-03,,,校友會,
高爾夫球例賽：妖怪隊,2026-12-06,,,,
高爾夫球例賽：快樂隊,2026-12-13,,,,
高爾夫球例賽：在校聯盟,2026-12-19,,,,
高爾夫球例賽：師徒隊,2026-12-27,,,,
